Item Id,Cert Number,Stock Num,Shape,Carat,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales,Measurements,Ratio,Table,Depth,Key To Symbol,Cert Comments,BIC,BIS,WIS,WIC,OT,OC,OP,Crown Angle,Crown Height,Pav Angle,Pav Depth,Carat Range,Location,Broad Count,Turn,Overhang,Needs,Needs/Surplus,Grouped Needs
14968399,7511583300,41104-16,Round,1.66,D,VVS2,EX,EX,EX,Medium,GIA,None,None,15400,25564,-54,7085,11760,32,8,32,2,0,2,7.67 x 7.62 x 4.62,1.01,58,60.5,"pinpoint, feather",Additional pinpoints are not shown.,None,None,Light,None,None,None,None,34,14,40.6,42.5,1.50-1.69,India,250,2.4,192.1,0,,17.5
14459534,6511155134,41025-26,Round,1.5,D,VS1,EX,EX,EX,None,GIA,None,None,13400,20100,-41,7906,11859,111,6,15,1,1,1,7.38 x 7.34 x 4.50,1.01,58,61.1,"crystal, needle, pinpoint, cloud",Additional pinpoints are not shown. Internal graining is not shown.,None,None,V Light,Light,None,None,None,33,13.5,41,43.5,1.50-1.69,India,250,2.8,126.7,0.5,,8.5
14968371,6511619501,41107-22,Round,1.5,D,VS2,EX,EX,EX,Faint,GIA,None,None,12000,18000,-50,6000,9000,32,3,23,3,0,1,7.28 x 7.22 x 4.59,1.01,58,63.4,"feather, crystal, needle, indented_natural, natural",Pinpoints are not shown.,Light,V Light,Light,Light,None,None,None,35,15,41.6,44.5,1.50-1.69,India,464,1.1,577.6,-2,,8.5
14812680,1517524309,41090-33,Round,1.58,D,VS2,EX,EX,EX,None,GIA,None,None,12000,18960,-41,7080,11187,53,16,23,3,0,1,7.44 x 7.39 x 4.59,1.01,59,61.9,"cloud, crystal, needle",Pinpoints are not shown.,None,Light,None,Medium,None,None,None,35.5,14.5,40.8,43,1.50-1.69,India,464,1.1,577.6,-2,,8.5
14968392,1513622773,41110-24,Round,1.54,D,VS2,EX,EX,EX,None,GIA,None,None,12000,18480,-42,6960,10719,32,10,23,3,0,1,7.38 x 7.34 x 4.56,1.01,58,62,"crystal, needle",Pinpoints are not shown. Surface graining is not shown.,Light,None,None,Light,None,None,None,35,15,40.8,43,1.50-1.69,India,464,1.1,577.6,-2,,8.5
14968550,1513524254,41101-10,Round,1.64,E,IF,EX,EX,EX,None,GIA,None,None,18800,30832,-38,11656,19116,32,2,4,1,1,2,7.56 x 7.51 x 4.67,1.01,59,62,,Minor details of polish are not shown.,None,None,None,None,None,None,None,33.5,13.5,41.6,44,1.50-1.69,India,76,3,128.8,0.5,,17.5
14900282,5513626080,41102-21,Round,1.5,E,VVS1,EX,EX,EX,None,GIA,None,None,17300,25950,-39,10553,15830,40,12,30,1,3,3,7.44 x 7.39 x 4.44,1.01,60,59.9,feather,-,None,None,Light,Light,None,None,None,32.5,13,40.8,43,1.50-1.69,India,212,4.1,75.1,1.5,needs,17.5
14968352,6511615086,41112-13,Round,1.6,E,VS2,EX,EX,EX,Medium,GIA,None,None,11000,17600,-55,4951,7921,32,6,29,4,0,1,7.45 x 7.40 x 4.65,1.01,58,62.6,"crystal, cloud, needle",Pinpoints are not shown.,Light,Light,Light,Light,None,Light,Light,36,15.5,40.8,43,1.50-1.69,India,1000,3.2,192.5,0,,8.5
14900279,6512611583,41099-60,Round,1.62,F,VVS1,EX,EX,EX,None,GIA,None,None,15300,24786,-37,9639,15616,40,24,26,1,1,1,7.50 x 7.45 x 4.67,1.01,59,62.5,pinpoint,-,None,None,V Light,None,None,None,None,35.5,14.5,41.2,43.5,1.50-1.69,India,317,3.7,74.5,2,needs,17.5
14968363,1515611595,41108-37,Round,1.61,F,VS1,EX,EX,EX,Medium,GIA,Brown,None,11400,18354,-53,5358,8627,32,6,23,1,1,2,7.46 x 7.41 x 4.66,1.01,57,62.7,"crystal, cloud, needle, pinpoint","Additional pinpoints, internal graining and surface graining are not shown.",V Light,Light,V Light,Light,None,None,None,35.5,15.5,40.8,43,1.50-1.69,India,1000,4.1,43.5,2.5,needs,8.5
