Category,Item Id,Cert Number,Stock Num,Shape,Carat,Carat Range,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales
Round | 1.50 - 1.69 | F | VS1,14968363,1515611595,41108-37,Round,1.61,1.50 - 1.69,F,VS1,EX,EX,EX,Medium,GIA,Brown,None,11400,18354,-53,5358,8627,34,7,21,1,1,2
Round | 1.50 - 1.69 | H | VVS1,14968362,1518602840,41109-37,Round,1.62,1.50 - 1.69,H,VVS1,EX,EX,EX,Faint,GIA,None,None,10000,16200,-47,5300,8586,34,14,31,2,4,4
Round | 1.00 - 1.19 | D | VVS1,14812678,6512530819,41079-23,Round,1.15,1.00 - 1.19,D,VVS1,EX,EX,EX,None,GIA,None,None,12800,14720,-42,7425,8539,55,2,10,2,1,1
Round | 1.50 - 1.69 | G | VS2,15276355,7518214112,41020-43,Round,1.52,1.50 - 1.69,G,VS2,EX,EX,EX,None,GIA,None,None,8900,13528,-41,5251,7982,4,20,43,2,1,4
Round | 1.50 - 1.69 | E | VS2,14968352,6511615086,41112-13,Round,1.6,1.50 - 1.69,E,VS2,EX,EX,EX,Medium,GIA,None,None,11000,17600,-55,4951,7921,34,6,26,1,3,4
Round | 1.00 - 1.19 | E | IF,14968351,7513619485,41108-44,Round,1.09,1.00 - 1.19,E,IF,EX,EX,EX,None,GIA,None,None,12500,13625,-42,7251,7904,34,4,8,2,1,2
Round | 1.50 - 1.69 | G | VS2,15084411,7511728766,41129-88,Round,1.5,1.50 - 1.69,G,VS2,EX,EX,EX,None,GIA,Mix Tinge,None,8900,13350,-43,5074,7611,27,12,44,2,1,4
Round | 1.00 - 1.19 | E | VVS1,14968347,7516473743,41081-48,Round,1.09,1.00 - 1.19,E,VVS1,EX,EX,EX,None,GIA,None,None,11100,12099,-38,6883,7502,34,9,15,2,3,4
Round | 1.20 - 1.49 | D | VS1,15084403,2514722540,41137-55,Round,1.25,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10875,-36,5568,6960,27,17,18,8,1,5
Round | 1.50 - 1.69 | H | VVS1,14968199,2517721188,41137-66,Round,1.51,1.50 - 1.69,H,VVS1,EX,EX,EX,Medium,GIA,None,None,10000,15100,-54,4600,6947,34,2,37,2,4,4
Round | 1.50 - 1.69 | H | VS2,15276354,1515268021,41037-103,Round,1.53,1.50 - 1.69,H,VS2,EX,EX,EX,None,GIA,None,None,7400,11322,-40,4440,6793,4,30,38,2,3,4
Round | 1.20 - 1.49 | E | VS1,14968197,1515625938,41127-9,Round,1.3,1.20 - 1.49,E,VS1,EX,EX,EX,None,GIA,None,None,7900,10270,-35,5136,6676,34,2,12,3,0,0
Round | 1.00 - 1.19 | D | VVS2,14968190,2514601544,41109-36,Round,1.09,1.00 - 1.19,D,VVS2,EX,EX,EX,None,GIA,None,None,10200,11118,-41,6019,6560,34,3,8,1,3,3
